Error,Epocas,Class
0.007598365545653286,4320,Test error
0.006519996386874712,4340,Train error
0.00623192713313474,4340,Test error
0.007172313363505647,4360,Train error
0.006689306216363423,4360,Test error
0.006476229497392557,4380,Train error
0.00621986854165617,4380,Test error
0.006944829198246376,4400,Train error
0.006798837604654198,4400,Test error
0.007553992135304382,4420,Train error
0.007390028065166421,4420,Test error
0.00608906710513396,4440,Train error
0.005860010111728422,4440,Test error
0.006405332407606399,4460,Train error
0.006164683334013673,4460,Test error
0.006386500820179664,4480,Train error
0.005951038657073012,4480,Test error
0.006440478684012844,4500,Train error
0.006211068886880978,4500,Test error
0.006831900020917609,4520,Train error
0.00656102993660021,4520,Test error
0.006159619081797145,4540,Train error
0.005815021358890652,4540,Test error
0.008011597331467186,4560,Train error
0.007423582909282119,4560,Test error
0.00676713407604401,4580,Train error
0.006435257815718034,4580,Test error
0.006146371523317234,4600,Train error
0.0057666364528509905,4600,Test error
0.006114946775437715,4620,Train error
0.005834400563751314,4620,Test error
0.006490419777542768,4640,Train error
0.006104782423897669,4640,Test error
0.006116994115981337,4660,Train error
0.005775331613314736,4660,Test error
0.006146149566501785,4680,Train error
0.005827482529713434,4680,Test error
0.008943085531961546,4700,Train error
0.00843913467099201,4700,Test error
0.007153390091715477,4720,Train error
0.007011600525617272,4720,Test error
0.006395645170334892,4740,Train error
0.005990513945191341,4740,Test error
0.0060747623697592285,4760,Train error
0.005781432380644881,4760,Test error
0.006050407489813652,4780,Train error
0.005730326338386626,4780,Test error
0.005966126502687788,4800,Train error
0.005592903653841752,4800,Test error
0.006121192126729147,4820,Train error
0.0056672493522063275,4820,Test error
0.007872801094855487,4840,Train error
0.007641015665001774,4840,Test error
0.00638007197806461,4860,Train error
0.005875884275054965,4860,Test error
0.006205242370257191,4880,Train error
0.005911489818738348,4880,Test error
0.007326840905183072,4900,Train error
0.006830229396351414,4900,Test error
0.006890027899853295,4920,Train error
0.006576528978189034,4920,Test error
0.007975642876549846,4940,Train error
0.007707161406713389,4940,Test error
0.006695940191929615,4960,Train error
0.006197516933132999,4960,Test error
0.006444103780798538,4980,Train error
0.006105013491589781,4980,Test error
0.006141200494714318,5000,Train error
0.005741895567119114,5000,Test error
0.007100344722630539,5020,Train error
0.0066047669222410125,5020,Test error
0.006345931288945797,5040,Train error
0.005930078826608781,5040,Test error
0.00673353789327878,5060,Train error
0.006459928488612744,5060,Test error
0.006800978922672455,5080,Train error
0.006484613189315987,5080,Test error
0.006024835485460218,5100,Train error
0.005632766461291036,5100,Test error
0.007198661834366942,5120,Train error
0.006702531372608507,5120,Test error
0.005957110218100149,5140,Train error
0.005621478073521758,5140,Test error
0.006037732157225527,5160,Train error
0.005675186651278494,5160,Test error
0.0066419343552838826,5180,Train error
0.006160326397707044,5180,Test error
0.0059912157784989374,5200,Train error
0.005727838480269112,5200,Test error
0.00599310739679254,5220,Train error
0.005731075989851097,5220,Test error
0.00749620864735652,5240,Train error
0.00734763362689175,5240,Test error
0.006645732385955256,5260,Train error
0.006459102328029634,5260,Test error
