Error,d,Class
0.1169,2,"KNN, K = 3 - Test parallel"
0.0,4,"KNN, K = 1 - Train diagonal"
0.16900000000000004,4,"KNN, K = 1 - Test diagonal"
0.0,4,"KNN, K = 1 - Train parallel"
0.15139999999999998,4,"KNN, K = 1 - Test parallel"
0.0,4,"KNN, K = 1 - Train diagonal"
0.15639999999999998,4,"KNN, K = 1 - Test diagonal"
0.0,4,"KNN, K = 1 - Train parallel"
0.1361,4,"KNN, K = 1 - Test parallel"
0.0,4,"KNN, K = 1 - Train diagonal"
0.15090000000000003,4,"KNN, K = 1 - Test diagonal"
0.0,4,"KNN, K = 1 - Train parallel"
0.1562,4,"KNN, K = 1 - Test parallel"
0.0,4,"KNN, K = 1 - Train diagonal"
0.1572,4,"KNN, K = 1 - Test diagonal"
0.0,4,"KNN, K = 1 - Train parallel"
0.15139999999999998,4,"KNN, K = 1 - Test parallel"
0.0,4,"KNN, K = 1 - Train diagonal"
0.14300000000000002,4,"KNN, K = 1 - Test diagonal"
0.0,4,"KNN, K = 1 - Train parallel"
0.16269999999999996,4,"KNN, K = 1 - Test parallel"
0.0,4,"KNN, K = 1 - Train diagonal"
0.15439999999999998,4,"KNN, K = 1 - Test diagonal"
0.0,4,"KNN, K = 1 - Train parallel"
0.14959999999999996,4,"KNN, K = 1 - Test parallel"
0.0,4,"KNN, K = 1 - Train diagonal"
0.15710000000000002,4,"KNN, K = 1 - Test diagonal"
0.0,4,"KNN, K = 1 - Train parallel"
0.1391,4,"KNN, K = 1 - Test parallel"
0.0,4,"KNN, K = 1 - Train diagonal"
0.14570000000000005,4,"KNN, K = 1 - Test diagonal"
0.0,4,"KNN, K = 1 - Train parallel"
0.14690000000000003,4,"KNN, K = 1 - Test parallel"
0.0,4,"KNN, K = 1 - Train diagonal"
0.1432,4,"KNN, K = 1 - Test diagonal"
0.0,4,"KNN, K = 1 - Train parallel"
0.14229999999999998,4,"KNN, K = 1 - Test parallel"
0.0,4,"KNN, K = 1 - Train diagonal"
0.15290000000000004,4,"KNN, K = 1 - Test diagonal"
0.0,4,"KNN, K = 1 - Train parallel"
0.17100000000000004,4,"KNN, K = 1 - Test parallel"
0.0,4,"KNN, K = 1 - Train diagonal"
0.13260000000000005,4,"KNN, K = 1 - Test diagonal"
0.0,4,"KNN, K = 1 - Train parallel"
0.17110000000000003,4,"KNN, K = 1 - Test parallel"
0.0,4,"KNN, K = 1 - Train diagonal"
0.1632,4,"KNN, K = 1 - Test diagonal"
0.0,4,"KNN, K = 1 - Train parallel"
0.16300000000000003,4,"KNN, K = 1 - Test parallel"
0.0,4,"KNN, K = 1 - Train diagonal"
0.1653,4,"KNN, K = 1 - Test diagonal"
0.0,4,"KNN, K = 1 - Train parallel"
0.1452,4,"KNN, K = 1 - Test parallel"
0.0,4,"KNN, K = 1 - Train diagonal"
0.15249999999999997,4,"KNN, K = 1 - Test diagonal"
0.0,4,"KNN, K = 1 - Train parallel"
0.15569999999999995,4,"KNN, K = 1 - Test parallel"
0.0,4,"KNN, K = 1 - Train diagonal"
0.1521,4,"KNN, K = 1 - Test diagonal"
0.0,4,"KNN, K = 1 - Train parallel"
0.1543,4,"KNN, K = 1 - Test parallel"
0.0,4,"KNN, K = 1 - Train diagonal"
0.1604,4,"KNN, K = 1 - Test diagonal"
0.0,4,"KNN, K = 1 - Train parallel"
0.16000000000000003,4,"KNN, K = 1 - Test parallel"
0.0,4,"KNN, K = 1 - Train diagonal"
0.17910000000000004,4,"KNN, K = 1 - Test diagonal"
0.0,4,"KNN, K = 1 - Train parallel"
0.1624,4,"KNN, K = 1 - Test parallel"
0.0,4,"KNN, K = 1 - Train diagonal"
0.1632,4,"KNN, K = 1 - Test diagonal"
0.0,4,"KNN, K = 1 - Train parallel"
0.14680000000000004,4,"KNN, K = 1 - Test parallel"
0.0,4,"KNN, K = 1 - Train diagonal"
0.17620000000000002,4,"KNN, K = 1 - Test diagonal"
0.0,4,"KNN, K = 1 - Train parallel"
0.14349999999999996,4,"KNN, K = 1 - Test parallel"
0.0,4,"KNN, K = 1 - Train diagonal"
0.1451,4,"KNN, K = 1 - Test diagonal"
0.0,4,"KNN, K = 1 - Train parallel"
0.15369999999999995,4,"KNN, K = 1 - Test parallel"
0.06000000000000005,4,"KNN, K = 3 - Train diagonal"
0.135,4,"KNN, K = 3 - Test diagonal"
0.09199999999999997,4,"KNN, K = 3 - Train parallel"
0.12660000000000005,4,"KNN, K = 3 - Test parallel"
0.08399999999999996,4,"KNN, K = 3 - Train diagonal"
0.12190000000000001,4,"KNN, K = 3 - Test diagonal"
0.06000000000000005,4,"KNN, K = 3 - Train parallel"
0.12670000000000003,4,"KNN, K = 3 - Test parallel"
0.07199999999999995,4,"KNN, K = 3 - Train diagonal"
0.1341,4,"KNN, K = 3 - Test diagonal"
0.09199999999999997,4,"KNN, K = 3 - Train parallel"
0.11670000000000003,4,"KNN, K = 3 - Test parallel"
0.028000000000000025,4,"KNN, K = 3 - Train diagonal"
0.12319999999999998,4,"KNN, K = 3 - Test diagonal"
0.08399999999999996,4,"KNN, K = 3 - Train parallel"
0.12360000000000004,4,"KNN, K = 3 - Test parallel"
0.07999999999999996,4,"KNN, K = 3 - Train diagonal"
0.11719999999999997,4,"KNN, K = 3 - Test diagonal"
0.07199999999999995,4,"KNN, K = 3 - Train parallel"
0.125,4,"KNN, K = 3 - Test parallel"
0.07599999999999996,4,"KNN, K = 3 - Train diagonal"
0.13390000000000002,4,"KNN, K = 3 - Test diagonal"
0.07999999999999996,4,"KNN, K = 3 - Train parallel"
0.1341,4,"KNN, K = 3 - Test parallel"
0.07599999999999996,4,"KNN, K = 3 - Train diagonal"
0.12729999999999997,4,"KNN, K = 3 - Test diagonal"
0.05600000000000005,4,"KNN, K = 3 - Train parallel"
0.12519999999999998,4,"KNN, K = 3 - Test parallel"
0.11199999999999999,4,"KNN, K = 3 - Train diagonal"
0.13549999999999995,4,"KNN, K = 3 - Test diagonal"
0.09199999999999997,4,"KNN, K = 3 - Train parallel"
0.12309999999999999,4,"KNN, K = 3 - Test parallel"
0.08399999999999996,4,"KNN, K = 3 - Train diagonal"
0.12939999999999996,4,"KNN, K = 3 - Test diagonal"
0.052000000000000046,4,"KNN, K = 3 - Train parallel"
0.11829999999999996,4,"KNN, K = 3 - Test parallel"
0.09599999999999997,4,"KNN, K = 3 - Train diagonal"
0.12380000000000002,4,"KNN, K = 3 - Test diagonal"
0.08799999999999997,4,"KNN, K = 3 - Train parallel"
0.12770000000000004,4,"KNN, K = 3 - Test parallel"
0.07999999999999996,4,"KNN, K = 3 - Train diagonal"
0.12439999999999996,4,"KNN, K = 3 - Test diagonal"
0.08399999999999996,4,"KNN, K = 3 - Train parallel"
0.12639999999999996,4,"KNN, K = 3 - Test parallel"
0.08799999999999997,4,"KNN, K = 3 - Train diagonal"
0.12219999999999998,4,"KNN, K = 3 - Test diagonal"
0.07199999999999995,4,"KNN, K = 3 - Train parallel"
0.13129999999999997,4,"KNN, K = 3 - Test parallel"
0.08399999999999996,4,"KNN, K = 3 - Train diagonal"
0.133,4,"KNN, K = 3 - Test diagonal"
0.06399999999999995,4,"KNN, K = 3 - Train parallel"
0.13080000000000003,4,"KNN, K = 3 - Test parallel"
0.07199999999999995,4,"KNN, K = 3 - Train diagonal"
0.12639999999999996,4,"KNN, K = 3 - Test diagonal"
0.09199999999999997,4,"KNN, K = 3 - Train parallel"
0.13090000000000002,4,"KNN, K = 3 - Test parallel"
0.06799999999999995,4,"KNN, K = 3 - Train diagonal"
0.11450000000000005,4,"KNN, K = 3 - Test diagonal"
0.06799999999999995,4,"KNN, K = 3 - Train parallel"
0.12660000000000005,4,"KNN, K = 3 - Test parallel"
0.06799999999999995,4,"KNN, K = 3 - Train diagonal"
0.12819999999999998,4,"KNN, K = 3 - Test diagonal"
0.07599999999999996,4,"KNN, K = 3 - Train parallel"
0.11939999999999995,4,"KNN, K = 3 - Test parallel"
0.07599999999999996,4,"KNN, K = 3 - Train diagonal"
0.12170000000000003,4,"KNN, K = 3 - Test diagonal"
0.05600000000000005,4,"KNN, K = 3 - Train parallel"
0.11929999999999996,4,"KNN, K = 3 - Test parallel"
0.052000000000000046,4,"KNN, K = 3 - Train diagonal"
0.12960000000000005,4,"KNN, K = 3 - Test diagonal"
0.06799999999999995,4,"KNN, K = 3 - Train parallel"
0.12329999999999997,4,"KNN, K = 3 - Test parallel"
0.07199999999999995,4,"KNN, K = 3 - Train diagonal"
0.12129999999999996,4,"KNN, K = 3 - Test diagonal"
0.052000000000000046,4,"KNN, K = 3 - Train parallel"
0.11780000000000002,4,"KNN, K = 3 - Test parallel"
0.08399999999999996,4,"KNN, K = 3 - Train diagonal"
0.12360000000000004,4,"KNN, K = 3 - Test diagonal"
0.08799999999999997,4,"KNN, K = 3 - Train parallel"
0.13449999999999995,4,"KNN, K = 3 - Test parallel"
0.0,8,"KNN, K = 1 - Train diagonal"
0.17159999999999997,8,"KNN, K = 1 - Test diagonal"
0.0,8,"KNN, K = 1 - Train parallel"
0.17889999999999995,8,"KNN, K = 1 - Test parallel"
0.0,8,"KNN, K = 1 - Train diagonal"
0.19889999999999997,8,"KNN, K = 1 - Test diagonal"
0.0,8,"KNN, K = 1 - Train parallel"
0.17300000000000004,8,"KNN, K = 1 - Test parallel"
0.0,8,"KNN, K = 1 - Train diagonal"
0.18079999999999996,8,"KNN, K = 1 - Test diagonal"
0.0,8,"KNN, K = 1 - Train parallel"
0.1723,8,"KNN, K = 1 - Test parallel"
0.0,8,"KNN, K = 1 - Train diagonal"
0.17620000000000002,8,"KNN, K = 1 - Test diagonal"
0.0,8,"KNN, K = 1 - Train parallel"
0.18589999999999995,8,"KNN, K = 1 - Test parallel"
0.0,8,"KNN, K = 1 - Train diagonal"
0.16310000000000002,8,"KNN, K = 1 - Test diagonal"
0.0,8,"KNN, K = 1 - Train parallel"
0.16710000000000003,8,"KNN, K = 1 - Test parallel"
0.0,8,"KNN, K = 1 - Train diagonal"
0.1936,8,"KNN, K = 1 - Test diagonal"
0.0,8,"KNN, K = 1 - Train parallel"
0.1774,8,"KNN, K = 1 - Test parallel"
0.0,8,"KNN, K = 1 - Train diagonal"
0.19479999999999997,8,"KNN, K = 1 - Test diagonal"
0.0,8,"KNN, K = 1 - Train parallel"
0.18069999999999997,8,"KNN, K = 1 - Test parallel"
0.0,8,"KNN, K = 1 - Train diagonal"
0.16779999999999995,8,"KNN, K = 1 - Test diagonal"
0.0,8,"KNN, K = 1 - Train parallel"
0.1644,8,"KNN, K = 1 - Test parallel"
0.0,8,"KNN, K = 1 - Train diagonal"
0.17300000000000004,8,"KNN, K = 1 - Test diagonal"
0.0,8,"KNN, K = 1 - Train parallel"
0.16879999999999995,8,"KNN, K = 1 - Test parallel"
0.0,8,"KNN, K = 1 - Train diagonal"
0.2005,8,"KNN, K = 1 - Test diagonal"
0.0,8,"KNN, K = 1 - Train parallel"
0.15149999999999997,8,"KNN, K = 1 - Test parallel"
0.0,8,"KNN, K = 1 - Train diagonal"
0.17149999999999999,8,"KNN, K = 1 - Test diagonal"
0.0,8,"KNN, K = 1 - Train parallel"
0.1765,8,"KNN, K = 1 - Test parallel"
0.0,8,"KNN, K = 1 - Train diagonal"
0.18620000000000003,8,"KNN, K = 1 - Test diagonal"
0.0,8,"KNN, K = 1 - Train parallel"
0.18579999999999997,8,"KNN, K = 1 - Test parallel"
0.0,8,"KNN, K = 1 - Train diagonal"
0.18059999999999998,8,"KNN, K = 1 - Test diagonal"
0.0,8,"KNN, K = 1 - Train parallel"
0.17049999999999998,8,"KNN, K = 1 - Test parallel"
0.0,8,"KNN, K = 1 - Train diagonal"
0.17500000000000004,8,"KNN, K = 1 - Test diagonal"
0.0,8,"KNN, K = 1 - Train parallel"
0.17559999999999998,8,"KNN, K = 1 - Test parallel"
0.0,8,"KNN, K = 1 - Train diagonal"
0.17020000000000002,8,"KNN, K = 1 - Test diagonal"
0.0,8,"KNN, K = 1 - Train parallel"
0.1896,8,"KNN, K = 1 - Test parallel"
0.0,8,"KNN, K = 1 - Train diagonal"
0.1694,8,"KNN, K = 1 - Test diagonal"
0.0,8,"KNN, K = 1 - Train parallel"
0.17110000000000003,8,"KNN, K = 1 - Test parallel"
0.0,8,"KNN, K = 1 - Train diagonal"
0.17420000000000002,8,"KNN, K = 1 - Test diagonal"
0.0,8,"KNN, K = 1 - Train parallel"
0.19479999999999997,8,"KNN, K = 1 - Test parallel"
0.0,8,"KNN, K = 1 - Train diagonal"
0.1915,8,"KNN, K = 1 - Test diagonal"
0.0,8,"KNN, K = 1 - Train parallel"
0.1755,8,"KNN, K = 1 - Test parallel"
0.0,8,"KNN, K = 1 - Train diagonal"
0.17459999999999998,8,"KNN, K = 1 - Test diagonal"
0.0,8,"KNN, K = 1 - Train parallel"
0.17169999999999996,8,"KNN, K = 1 - Test parallel"
0.0,8,"KNN, K = 1 - Train diagonal"
0.16859999999999997,8,"KNN, K = 1 - Test diagonal"
0.0,8,"KNN, K = 1 - Train parallel"
0.1652,8,"KNN, K = 1 - Test parallel"
0.07599999999999996,8,"KNN, K = 3 - Train diagonal"
0.1462,8,"KNN, K = 3 - Test diagonal"
0.07599999999999996,8,"KNN, K = 3 - Train parallel"
0.16000000000000003,8,"KNN, K = 3 - Test parallel"
0.040000000000000036,8,"KNN, K = 3 - Train diagonal"
0.1382,8,"KNN, K = 3 - Test diagonal"
0.08399999999999996,8,"KNN, K = 3 - Train parallel"
0.14449999999999996,8,"KNN, K = 3 - Test parallel"
0.09599999999999997,8,"KNN, K = 3 - Train diagonal"
0.14059999999999995,8,"KNN, K = 3 - Test diagonal"
0.06799999999999995,8,"KNN, K = 3 - Train parallel"
0.14029999999999998,8,"KNN, K = 3 - Test parallel"
0.07999999999999996,8,"KNN, K = 3 - Train diagonal"
0.1411,8,"KNN, K = 3 - Test diagonal"
0.07599999999999996,8,"KNN, K = 3 - Train parallel"
0.1481,8,"KNN, K = 3 - Test parallel"
0.08399999999999996,8,"KNN, K = 3 - Train diagonal"
0.1382,8,"KNN, K = 3 - Test diagonal"
0.11599999999999999,8,"KNN, K = 3 - Train parallel"
0.1573,8,"KNN, K = 3 - Test parallel"
0.08399999999999996,8,"KNN, K = 3 - Train diagonal"
0.14859999999999995,8,"KNN, K = 3 - Test diagonal"
0.07199999999999995,8,"KNN, K = 3 - Train parallel"
0.14049999999999996,8,"KNN, K = 3 - Test parallel"
0.07999999999999996,8,"KNN, K = 3 - Train diagonal"
0.14559999999999995,8,"KNN, K = 3 - Test diagonal"
0.124,8,"KNN, K = 3 - Train parallel"
0.1483,8,"KNN, K = 3 - Test parallel"
0.052000000000000046,8,"KNN, K = 3 - Train diagonal"
0.14190000000000003,8,"KNN, K = 3 - Test diagonal"
0.12,8,"KNN, K = 3 - Train parallel"
0.17559999999999998,8,"KNN, K = 3 - Test parallel"
0.07199999999999995,8,"KNN, K = 3 - Train diagonal"
0.14390000000000003,8,"KNN, K = 3 - Test diagonal"
0.06399999999999995,8,"KNN, K = 3 - Train parallel"
0.13260000000000005,8,"KNN, K = 3 - Test parallel"
0.09599999999999997,8,"KNN, K = 3 - Train diagonal"
0.14339999999999997,8,"KNN, K = 3 - Test diagonal"
0.07599999999999996,8,"KNN, K = 3 - Train parallel"
0.13129999999999997,8,"KNN, K = 3 - Test parallel"
0.09999999999999998,8,"KNN, K = 3 - Train diagonal"
0.13829999999999998,8,"KNN, K = 3 - Test diagonal"
0.04400000000000004,8,"KNN, K = 3 - Train parallel"
0.12770000000000004,8,"KNN, K = 3 - Test parallel"
0.06399999999999995,8,"KNN, K = 3 - Train diagonal"
0.14249999999999996,8,"KNN, K = 3 - Test diagonal"
0.052000000000000046,8,"KNN, K = 3 - Train parallel"
0.1321,8,"KNN, K = 3 - Test parallel"
0.07599999999999996,8,"KNN, K = 3 - Train diagonal"
0.1553,8,"KNN, K = 3 - Test diagonal"
0.08799999999999997,8,"KNN, K = 3 - Train parallel"
0.14200000000000002,8,"KNN, K = 3 - Test parallel"
0.08799999999999997,8,"KNN, K = 3 - Train diagonal"
0.16110000000000002,8,"KNN, K = 3 - Test diagonal"
0.04800000000000004,8,"KNN, K = 3 - Train parallel"
0.13870000000000005,8,"KNN, K = 3 - Test parallel"
0.04400000000000004,8,"KNN, K = 3 - Train diagonal"
0.12429999999999997,8,"KNN, K = 3 - Test diagonal"
0.09199999999999997,8,"KNN, K = 3 - Train parallel"
0.14400000000000002,8,"KNN, K = 3 - Test parallel"
0.08799999999999997,8,"KNN, K = 3 - Train diagonal"
0.14900000000000002,8,"KNN, K = 3 - Test diagonal"
0.06799999999999995,8,"KNN, K = 3 - Train parallel"
0.15780000000000005,8,"KNN, K = 3 - Test parallel"
0.07199999999999995,8,"KNN, K = 3 - Train diagonal"
0.15849999999999997,8,"KNN, K = 3 - Test diagonal"
0.07999999999999996,8,"KNN, K = 3 - Train parallel"
0.13119999999999998,8,"KNN, K = 3 - Test parallel"
0.08799999999999997,8,"KNN, K = 3 - Train diagonal"
0.14539999999999997,8,"KNN, K = 3 - Test diagonal"
0.06000000000000005,8,"KNN, K = 3 - Train parallel"
0.1451,8,"KNN, K = 3 - Test parallel"
0.11199999999999999,8,"KNN, K = 3 - Train diagonal"
0.15880000000000005,8,"KNN, K = 3 - Test diagonal"
0.06399999999999995,8,"KNN, K = 3 - Train parallel"
0.14600000000000002,8,"KNN, K = 3 - Test parallel"
0.07999999999999996,8,"KNN, K = 3 - Train diagonal"
0.15949999999999998,8,"KNN, K = 3 - Test diagonal"
0.08399999999999996,8,"KNN, K = 3 - Train parallel"
0.1563,8,"KNN, K = 3 - Test parallel"
0.0,16,"KNN, K = 1 - Train diagonal"
0.20840000000000003,16,"KNN, K = 1 - Test diagonal"
0.0,16,"KNN, K = 1 - Train parallel"
0.2229,16,"KNN, K = 1 - Test parallel"
0.0,16,"KNN, K = 1 - Train diagonal"
0.19630000000000003,16,"KNN, K = 1 - Test diagonal"
0.0,16,"KNN, K = 1 - Train parallel"
0.20730000000000004,16,"KNN, K = 1 - Test parallel"
0.0,16,"KNN, K = 1 - Train diagonal"
0.19540000000000002,16,"KNN, K = 1 - Test diagonal"
0.0,16,"KNN, K = 1 - Train parallel"
0.22409999999999997,16,"KNN, K = 1 - Test parallel"
0.0,16,"KNN, K = 1 - Train diagonal"
0.22540000000000004,16,"KNN, K = 1 - Test diagonal"
0.0,16,"KNN, K = 1 - Train parallel"
0.20020000000000004,16,"KNN, K = 1 - Test parallel"
0.0,16,"KNN, K = 1 - Train diagonal"
0.20489999999999997,16,"KNN, K = 1 - Test diagonal"
0.0,16,"KNN, K = 1 - Train parallel"
0.2117,16,"KNN, K = 1 - Test parallel"
0.0,16,"KNN, K = 1 - Train diagonal"
0.2258,16,"KNN, K = 1 - Test diagonal"
0.0,16,"KNN, K = 1 - Train parallel"
0.21120000000000005,16,"KNN, K = 1 - Test parallel"
0.0,16,"KNN, K = 1 - Train diagonal"
